Images: 2, 3
[78.0039, 62.8563] -> [78.0122, 62.8359]
[243.976, 151.002] -> [244, 150.974]
[86.9632, 74.8542] -> [86.9744, 74.8769]
[222.964, 111.973] -> [222.965, 111.989]
[238.052, 78.0199] -> [237.978, 78.0248]
[221.943, 129.885] -> [221.863, 129.887]
[205.987, 101.957] -> [206.052, 102.033]
[125.018, 107.923] -> [125.037, 107.992]
[131.269, 155.796] -> [131.067, 155.703]
[135.935, 127.773] -> [135.84, 127.612]
[199.992, 89.9841] -> [200.111, 89.8244]
[242.009, 93.9829] -> [241.944, 94.0287]
[279.752, 169.003] -> [279.648, 168.782]
[82.9536, 112.819] -> [82.9522, 112.813]
[238.973, 110.038] -> [238.84, 110.127]
[225.046, 76.0134] -> [224.987, 76.0106]
[208.983, 114.922] -> [209.151, 115.092]
[50.916, 102.892] -> [50.8163, 102.95]
[57.9346, 124.824] -> [57.7774, 124.664]
[258.967, 111.057] -> [259.201, 111.121]
[91.9763, 102.848] -> [91.9878, 102.857]
[92.9535, 123.833] -> [92.9829, 123.828]
[27.7516, 157.694] -> [27.7296, 157.51]
[82.9571, 154.932] -> [82.7628, 154.885]
[56.9459, 91.8842] -> [56.8966, 91.8544]
[253.076, 66.0077] -> [253.061, 65.9587]
[293.848, 227.278] -> [294.026, 227.809]
[92.9538, 137.761] -> [92.9551, 137.689]
[253.072, 80.0169] -> [253.1, 79.9891]
[113.308, 144.799] -> [113.259, 144.814]
[100.99, 83.8996] -> [100.984, 83.9461]
[260.89, 170.791] -> [260.95, 170.771]
[268.006, 103.027] -> [268.171, 102.859]
[99.0033, 115.86] -> [99.0046, 115.877]
[267.936, 121.958] -> [268.131, 122.156]
[58.8687, 136.741] -> [58.779, 136.535]
[252.005, 102.022] -> [252.35, 101.648]
[50.8853, 115.841] -> [50.8126, 115.749]
[234.977, 136.958] -> [234.867, 137.035]
[72.9926, 126.836] -> [73.0906, 126.822]
[230.989, 121.007] -> [230.883, 121.146]
[156.77, 147.734] -> [156.663, 147.666]
[36.8545, 137.436] -> [36.8176, 137.315]
[264.054, 76.0155] -> [264.089, 75.992]
[278.66, 218.284] -> [278.463, 217.959]
[210.954, 124.868] -> [210.988, 124.837]
[71.8521, 142.73] -> [71.9442, 142.573]
[93.9852, 147.991] -> [93.886, 147.971]
[186.594, 151.535] -> [186.726, 150.987]
[265.894, 180.82] -> [265.823, 180.481]
[268.626, 199.676] -> [268.733, 199.689]
[174.045, 142.743] -> [173.759, 142.662]
[145.593, 260.32] -> [145.236, 260.183]
[60.9238, 150.708] -> [61.0319, 150.514]
[70.0233, 72.8526] -> [69.9904, 72.8311]
[53.0103, 79.8485] -> [52.9168, 79.877]
[47.8394, 130.679] -> [47.7913, 130.6]
[202.614, 230.598] -> [203.203, 230.966]
[37.8263, 127.619] -> [37.7494, 127.645]
[49.876, 155.676] -> [49.9362, 155.575]
[163.425, 157.781] -> [163.507, 157.286]
[146.793, 154.757] -> [146.961, 154.556]
[222.998, 97.9918] -> [222.982, 98.0695]
[158.94, 250.693] -> [158.564, 250.482]
[274.809, 158.025] -> [274.765, 157.867]
[285.792, 197.915] -> [285.718, 197.701]
[272.897, 131.924] -> [272.951, 132.38]
[150.567, 248.632] -> [150.116, 248.239]
[258.016, 94.0124] -> [258.049, 94.0082]
[267.836, 145.014] -> [267.888, 145.116]
[114.822, 183.716] -> [115.065, 183.574]
[248.957, 112.042] -> [249.321, 112.003]
[206.095, 231.791] -> [206.855, 232.211]
[67.8715, 162.766] -> [67.8971, 162.694]
[254.128, 155.847] -> [254.234, 155.748]
[45.6421, 181.021] -> [45.7201, 181.374]
[207.018, 248.941] -> [207.025, 248.599]
[146.56, 262.185] -> [146.267, 262.234]
[68.975, 103.843] -> [68.9654, 103.73]
[175.517, 251.91] -> [175.074, 252.153]
[179.92, 173.517] -> [179.559, 172.87]
[162.219, 268.505] -> [161.764, 268.038]
[250.251, 165.917] -> [250.442, 166.151]
[39.871, 154.586] -> [39.8547, 154.419]
[198.211, 238.2] -> [198.506, 238.496]
[197.032, 133.767] -> [197.033, 133.789]
[137.374, 147.753] -> [137.439, 147.721]
[157.973, 132.751] -> [158.124, 132.649]
[141.82, 171.736] -> [142.45, 171.638]
[213.665, 149.819] -> [214.571, 149.621]
[47.851, 143.491] -> [47.8793, 143.393]
[1.95579, 230.883] -> [1.94531, 230.882]
[129.991, 119.904] -> [130.03, 119.942]
[66.9869, 93.8428] -> [66.9761, 93.8355]
[217.02, 70.0257] -> [216.974, 70.0036]
[140.021, 228.282] -> [139.984, 227.975]
[159.397, 308.458] -> [159.395, 308.301]
[239.281, 159.941] -> [239.239, 159.928]
[27.5698, 203.739] -> [27.3135, 204.774]
[114.209, 188.826] -> [114.545, 188.69]
[130.63, 168.595] -> [130.585, 168.713]
[176.265, 154.685] -> [175.491, 154.271]
[35.3471, 188.455] -> [35.3541, 188.961]
[185.046, 138.768] -> [185.071, 138.691]
[298.862, 217.353] -> [298.894, 217.136]
[2.12114, 253.892] -> [2.06764, 253.901]
[45.9002, 165.702] -> [46.024, 165.762]
[199.41, 247.367] -> [199.313, 247.207]
[32.6165, 167.962] -> [32.5824, 167.83]
[227.002, 144.912] -> [227.024, 144.986]
[146.861, 276] -> [146.838, 276.013]
[206.247, 226.093] -> [207.717, 226.659]
[150.968, 184.577] -> [151.608, 184.784]
[295.833, 194.138] -> [295.777, 193.857]
[308.073, 222.472] -> [308.421, 222.927]
[105.855, 228.186] -> [105.958, 227.924]
[188.477, 161.62] -> [188.666, 160.848]
[162.48, 261.05] -> [162.005, 260.554]


Images: 10, 11
[195.016, 106.016] -> [195.084, 105.879]
[267.083, 87.0175] -> [267.13, 87.0071]
[233.998, 66.978] -> [233.978, 66.9095]
[194.959, 118.009] -> [195.003, 117.904]
[110.044, 115.928] -> [110.019, 115.928]
[277.827, 189.615] -> [277.843, 189.751]
[84.0117, 87.8317] -> [83.9698, 87.8381]
[87.9925, 64.858] -> [87.9457, 64.8449]
[101.994, 128.707] -> [101.915, 128.642]
[242.032, 58.9629] -> [242.039, 58.8772]
[291.742, 206.839] -> [291.569, 206.511]
[107.061, 103.961] -> [107.037, 103.972]
[104.003, 93.9432] -> [103.934, 93.9307]
[70.9778, 116.767] -> [70.8924, 116.819]
[217.956, 89.0025] -> [217.971, 88.9562]
[111.979, 85.9473] -> [111.905, 85.9105]
[59.9707, 70.835] -> [59.8697, 70.8392]
[256.924, 144.11] -> [256.796, 144.238]
[231.009, 89.0503] -> [230.999, 89.0301]
[253.38, 128.309] -> [253.369, 128.316]
[80.9704, 99.7406] -> [80.9478, 99.7413]
[183.045, 127.611] -> [183.107, 127.524]
